,N53,N87,N108,T53,T87,T108
ENSG00000001629,2463.3451169586588,5380.384335314659,6725.032405557217,4118.403991609144,5591.172692906109,6722.662998908627
ENSG00000001630,264.3246698327733,147.54497308655414,158.37305751615264,380.7272079718195,643.6613688993883,152.82087354089757
ENSG00000001631,2006.0533877802868,3354.812170859432,3514.484467527564,1639.583298846384,3030.6048657170472,3833.62077054023
ENSG00000002016,588.9515457110462,538.1051959627268,588.0764268063022,345.9295599313844,559.1954784484358,956.222037298759
ENSG00000002330,2060.3253732212365,431.2853059453121,1308.9067400599674,2460.3984085060592,1187.9971073610825,439.5419410414387
ENSG00000002549,5889.515457110461,7134.901028850697,8776.895106612077,7961.497179604257,7660.587008954446,2081.274753937938
ENSG00000002586,7121.690533973503,6972.668320886748,16147.064819992445,14956.8478959682,9026.11890457818,7805.508045712701
ENSG00000002587,358.79812597072265,315.11867555137354,121.10880868882262,139.19059216174045,651.4822846818839,346.39398002603446
ENSG00000002726,29.146066255324808,6.676243126088423,4.6580311034162545,32.750727567468346,2.3462747347486816,4.366310672597073
ENSG00000002746,29.146066255324808,40.72508306913937,17.467616637810952,22.516125202634488,11.73137367374341,32.0196115990452
ENSG00000002822,1672.381180995189,318.4567971144177,1233.2137346294533,1975.2782564129345,996.3846706899402,381.32446540681104
ENSG00000002834,19241.428912351497,8231.140150154415,19999.256542517687,30765.214708690575,25431.27184994096,11262.170661518718
ENSG00000002919,1688.461769273989,1452.082879924232,2411.6956037937657,2611.8705235056004,1673.6759774540596,944.5785421718334
ENSG00000002933,1532.681070323115,2481.5595699670666,896.670987407629,1634.465997663967,233.06329031836904,551.6105816380968
ENSG00000003056,4455.327989994996,3846.851289252149,4215.51814859171,6661.702679270358,5677.98485809181,3142.288247379027
ENSG00000003096,2205.0506677304356,2822.715593710185,386.61658158354913,450.32250405268974,129.0451104111775,148.45456286830048
ENSG00000003137,576.8911045019462,330.4740347413769,2551.4365368962535,297.82692881666526,65.69569257296308,1043.5482507507004
ENSG00000003147,2766.866220721007,2464.2013378392367,1561.6049274202992,2628.2458872893344,7019.271914789806,4548.240283955284
ENSG00000003249,2110.577211592486,572.1540359057778,295.78497506693213,5908.435945218586,2996.1928362740664,4014.094945007576
ENSG00000003393,1804.040997527863,2540.9781337892537,2384.9119249491223,2809.398349146894,2386.943496817659,2081.274753937938
ENSG00000003400,461.311876248072,1984.1794570734792,1559.275911868591,277.35772408699756,322.22173023881896,264.88951413755575
ENSG00000003402,6298.565421452434,10715.370217371918,18979.14773086953,5081.48007414001,4683.164370558369,8584.166782325845
ENSG00000003436,2861.3396768589564,9854.80247841912,4341.284988383949,1169.81505030051,333.1710123343128,1371.021551195481
ENSG00000003509,657.2940458959457,847.8828770132296,1022.4378271998678,663.202233241234,636.6225446951423,844.1533967021007
ENSG00000003756,4491.509313622296,6027.312294232628,6350.060901732209,2721.3807688093225,6059.6455482775955,6294.764552994114
ENSG00000003987,168.8461769273989,182.26143734221392,103.64119205101166,177.05862091162572,40.66876206897715,366.77009649815415
ENSG00000003989,6975.96020269688,7493.415284721646,2112.4171053992713,19068.08766592196,126.69883567642881,235.78077632024193
ENSG00000004059,7141.791269322003,2810.030731770617,4100.231878782158,8972.675893249843,6249.693801792238,15263.166674508502
ENSG00000004139,379.90389808664753,301.7661892991967,404.08419822136005,210.83280871557747,116.53164515918452,238.69165010197332
ENSG00000004142,6961.889687952929,3895.5878640725946,9474.435264348662,10161.936688043537,7626.174979511466,4196.024556365787
ENSG00000004399,9265.433958891013,5055.918919386762,17383.772077949463,15696.809646945687,4489.205659152478,2353.4414525298225
ENSG00000004455,6819.17446697858,6648.202904958851,8719.834225595228,7383.242145991145,6566.440890983311,13820.828715660602
ENSG00000004468,126.63463269554917,545.4490634014242,776.7266864946604,60.38415395251976,21.116472612738136,30.56417470817951
ENSG00000004478,17718.798209702632,4543.851071615781,5112.189135999339,38819.84676981482,23178.066013003976,15187.483956183485
ENSG00000004487,5506.596448721539,4965.12201287196,4505.480584779372,7447.720140889598,7081.057149471521,9993.029692683835
ENSG00000004534,3428.1804136866526,3946.994936143475,6145.107533181894,1909.7768012779977,4746.513788396584,4311.004070744177
ENSG00000004660,920.613678961294,484.69525095401946,331.8847161184081,474.885549728291,635.0583615386432,567.6203874376195
ENSG00000004700,1181.9232384917923,2377.410177200087,3177.9417203057396,1855.5334087443784,3107.2498403855043,557.4323292015597
ENSG00000004766,1740.7236811800885,3121.8112857589463,2146.187830899039,1805.3838571566926,3074.401994099023,3705.5423241440494
ENSG00000004776,2761.8410368838818,8050.8815857500285,51247.658199785634,286.568866215348,238.53793136611597,126.62300950531511
ENSG00000004777,245.2289712516984,245.68574704005394,238.72409405008304,265.0762012491969,1160.623902122348,416.25495078758763
ENSG00000004779,2222.1362927766604,2114.3661980322036,3995.426178955292,3335.456910699354,2554.3110945630647,3592.018246656525
ENSG00000004799,13915.739081766458,15466.18482589644,53183.070123255085,330.5776563841336,1851.2107657167098,4644.29911875242
ENSG00000004838,197.9922431827237,68.09767988610191,8.151554430978445,574.1611926671794,1234.1405104778066,62.58378630722471
ENSG00000004846,312.56643466917296,488.0333725170637,187.48575191250424,12.28152283780063,2.3462747347486816,7.277184454328455
ENSG00000004864,1857.3079462013877,1574.25812913165,1360.1450821975463,2167.688780871811,1971.6528687671423,4161.09407098501
ENSG00000004866,1540.7213644625149,2209.836474735268,3030.0492327722736,2113.4453883381916,2143.7130159820454,4728.71445842263
ENSG00000004897,3424.1602666169524,7189.646222484622,9954.212468000536,5707.837738867843,6541.4139604793245,2916.6955292948446
ENSG00000004948,61.3072428129246,113.49613314350319,10.480569982686573,12.28152283780063,3.9104578912478027,8.732621345194145
ENSG00000004961,1345.7442315820663,1123.6117181206814,1687.371767212538,2332.465878945636,1460.1649765919296,2092.9182490648636
ENSG00000004975,2570.884051073133,1094.2362483658924,1770.0518192981767,3109.2721984365257,2569.1708345498064,911.1034936819226
ENSG00000005001,866.3416935203443,184.9319345926493,30.277202172205655,1150.3693058073256,655.3927425731317,596.7291252549333
ENSG00000005007,7246.3150931342025,3042.363992558494,6546.8627158515455,7313.646849910275,8021.913318105743,4395.419410414387
ENSG00000005020,2198.0154103584605,6135.46743287526,6478.156757076155,2267.987884047183,453.61311538474513,582.1747563462764
ENSG00000005022,15897.671587128545,8444.112305876637,14211.652896522992,18704.759281970357,12828.648158027543,10161.860372024254
ENSG00000005059,522.6191190609966,1490.8050900555447,784.8782409256388,724.6098474302371,1611.8907427723443,860.1632025016233
ENSG00000005073,22.110808883349854,5.340994500870738,73.36398987880601,81.87681891867086,17.988106299739894,1.455436890865691
ENSG00000005075,1330.6686800706914,684.3149204240633,1318.2228022668,1749.0935441501063,1356.9288882629876,4508.943487901911
ENSG00000005100,1529.66596002084,1925.428517563901,1469.6088131278282,1431.8208708402567,1963.8319529846467,1146.8842700021644
ENSG00000005102,1140.7167310273676,2087.6612255278496,3520.3070064068343,70.61875631735361,36.75830417772935,96.0588347971356
ENSG00000005108,333.6722067850978,1595.6221071351329,822.1424897529689,223.1143315533781,339.42774496030927,103.33601925146407
ENSG00000005156,2046.2548584772867,1288.5149233350655,944.4158062176456,2993.6211917139035,4756.680978913828,1593.7033954979315
ENSG00000005175,1755.7992326914634,2603.7348191744845,1541.8082952307802,1852.4630280349281,3133.8409540459893,1999.7702880494594
ENSG00000005187,835.1855537301695,484.0276266414106,62.883419896119435,131.00291026987338,43.79712838197539,515.2246593664546
ENSG00000005189,510.5586778518967,407.2508306913938,515.8769447033502,701.0702619911192,994.0383959551915,459.9180575135583
ENSG00000005194,2467.365264028359,1837.3021082995338,2210.235758571013,4180.8350660346305,2590.2873071625445,2698.379995664991
ENSG00000005206,1811.0762548998382,707.014147052764,1076.0051848891549,2342.70048131047,1871.5451467511984,2942.893393330427
ENSG00000005238,777.8984579869449,1029.4766900428347,2390.7344638283926,1144.2285443884252,1200.5105726130755,1564.5946576806177
ENSG00000005243,719.6063254762953,1278.5005586459329,5582.650277444381,3851.280869886981,353.5053933688014,1129.4190273117763
ENSG00000005249,3154.8104129470544,10489.04557539752,89435.36169336794,1724.530498474505,2630.9560692315217,11209.774933447552
ENSG00000005302,1370.870150767691,2187.1372481065673,1607.0207306786078,1608.8794917518824,1531.3353102126396,2905.0520341679194
ENSG00000005339,7087.5192838810535,6765.704783978007,10039.221535637882,7479.447408220583,8739.09129536059,6667.356397055731
ENSG00000005379,1488.4594525564153,889.2755843949778,301.60751394620246,370.49260560698565,1542.2845923081334,84.41533967021007
ENSG00000005436,1415.0917685343907,2548.9896255405597,3105.7422382027876,1741.9293224947226,1752.6672268572652,2536.8265007788996
ENSG00000005448,595.9868030830211,291.0842002974552,210.77590742958552,1011.1787136455852,1069.1191874671492,350.76029069863154
ENSG00000005469,1379.915481674516,2181.1286292930877,788.371764253201,814.6743482407751,10713.09043886248,1175.9930078194784
ENSG00000005471,117.58930178872423,87.45878495175833,174.67616637810954,185.24630280349282,63.34941783821441,29.10873781731382
