,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000152253,2.87074855612371,2.14811514749336,469.64466224016,2.889387212031e-42,1.8046149397275e-39,41.539194253662934
ENSG00000167641,-3.3943003567781,3.32824295949378,468.19177655195,3.33203179795162e-42,2.01394450961998e-39,-41.47729086272472
ENSG00000025423,3.28515032263208,1.94018030756884,467.277912874599,3.6452362921383394e-42,2.13439976268113e-39,41.4382743145214
ENSG00000105011,3.03651494419913,3.97610288002297,466.741809782652,3.84275524664136e-42,2.18186985019149e-39,41.415357275805775
ENSG00000122952,2.50891218179738,4.68146527957594,465.238739587938,4.4566484929174696e-42,2.45600655328808e-39,41.35099161846181
ENSG00000143228,3.64349775627002,3.31287667259206,464.067428439446,5.0036089230770495e-42,2.67864629690556e-39,41.300716641661836
ENSG00000143476,3.18591158421222,4.26361157015956,463.477604704164,5.3044262949950395e-42,2.73348774840398e-39,41.275361580733666
ENSG00000100307,-1.77619193367168,5.6745149731778,463.247585467901,5.4266699948341295e-42,2.73348774840398e-39,-41.26546658781433
ENSG00000077157,-1.90134382352422,6.99387116918529,463.032241820601,5.543712143851809e-42,2.73348774840398e-39,-41.256199328465215
ENSG00000230018,-2.96757534240071,0.797215349799323,459.308540529443,8.02785990572077e-42,3.8567562660327603e-39,-41.09540021499662
ENSG00000149090,-3.78830937153193,5.23881068369697,459.055097653849,8.23345522982923e-42,3.8567562660327603e-39,-41.08441787167251
ENSG00000122591,-1.80752204314115,5.38384397578845,458.700893327889,8.529800789735989e-42,3.89811896090935e-39,-41.069061111497035
ENSG00000108924,-3.50037783858933,5.03565136720005,457.867339503705,9.270768917069069e-42,4.13586659997912e-39,-41.03288424400098
ENSG00000117724,3.36118756981514,6.17301344678244,456.423701475567,1.07126264558725e-41,4.66796469543449e-39,40.97010403846305
ENSG00000151725,2.38314743807822,4.04386922095912,455.684805238507,1.15369325906179e-41,4.91289786250928e-39,40.93790964491063
ENSG00000170312,3.06926495587313,4.81180238013639,452.405090758339,1.60508340671174e-41,6.68321062034618e-39,40.794502394951635
ENSG00000198932,-2.18467367157256,4.08310382242011,450.720165174383,1.90325006619683e-41,7.75243401963695e-39,-40.72050414642948
ENSG00000198947,-3.2495199611644,6.21869126080013,449.814733095683,2.08618069454325e-41,8.31675907950145e-39,-40.680648077863275
ENSG00000186871,3.07074712560268,2.27721705217747,448.491373320802,2.38627366340519e-41,9.31491867317149e-39,40.622279751909815
ENSG00000182463,-2.52973632595231,5.71705346734689,448.087445629271,2.48635634762867e-41,9.50752222153438e-39,-40.60443662761792
ENSG00000249669,-4.22290595432653,4.07845737584512,445.170941536727,3.34795737425857e-41,1.25461354642966e-38,-40.475220080022304
ENSG00000060718,6.16668208105524,7.27023962280485,444.961883084747,3.42033187807978e-41,1.25660310587413e-38,40.465931751889535
ENSG00000269936,-3.7106988193556,4.92758908694708,443.405419546564,4.01171954712398e-41,1.44553056066273e-38,-40.396669435420755
ENSG00000119147,-4.89024004799193,4.05637128349644,441.959132574746,4.65440364237372e-41,1.64546341598408e-38,-40.33213595623319
