,logFC,unshrunk.logFC,logCPM,PValue,FDR,neg_signed_logpval,s2n
ENSG00000187288,-9.09550369350875,-9.10689067425915,7.69868561480642,8.64338817633099e-06,0.148383518796635,-5.063315982307925,-0.6921246255187928
ENSG00000164879,-6.37017012804796,-6.38048183240598,6.28690184569688,2.25534361224526e-05,0.148383518796635,-4.64678728193077,-0.661086689447114
ENSG00000135917,-8.45020756498898,-8.46383821224354,6.67269449489825,2.37337682016371e-05,0.148383518796635,-4.624633303533321,-0.6883148897826205
ENSG00000134548,-8.80173499501529,-8.89196322644819,5.91069038169558,3.57910799848053e-05,0.14949987550702,-4.446225196710164,-0.6143997605026525
ENSG00000167588,-7.39399941051297,-7.39598159648789,9.12692589789576,4.40902068579172e-05,0.14949987550702,-4.355657863590524,-0.6604087482718392
ENSG00000081041,-7.16513035763518,-7.18541980586174,3.64089685215605,6.2920955968206e-05,0.14949987550702,-4.201204687692698,-1.0903660359477356
ENSG00000176194,-12.8152165363889,-13.3475715845513,5.60394501092577,7.20598735218229e-05,0.14949987550702,-4.142306504478543,-0.6495729293868197
ENSG00000168497,-5.65826179171631,-5.65930156276287,6.29164680722867,7.57782951271816e-05,0.14949987550702,-4.120455169781352,-1.084358537099699
ENSG00000161649,-7.16189503374135,-7.17098281656168,5.53930876982626,7.69676497764503e-05,0.14949987550702,-4.113691774512395,-0.7828358124449469
ENSG00000138207,-7.97464686569218,-7.98006018716454,7.14812676901428,7.97077604537323e-05,0.14949987550702,-4.098499393056107,-0.7232468864443392
ENSG00000130876,-7.00302721473989,-7.0562387514376,3.55505049004984,9.22949326055349e-05,0.157371250540856,-4.034822142981324,-0.6580826147399829
ENSG00000165810,-4.82510617346205,-4.82644235471895,5.88873678476907,0.0001220225767011,0.183672104710646,-3.913559808426946,-0.7296175284108941
ENSG00000196616,-10.2026879652518,-10.2063083736013,9.5850045853368,0.0001273052549178,0.183672104710646,-3.8951536691295283,-0.7846953539690886
ENSG00000170323,-8.71849577240348,-8.71988737193733,9.68543308641656,0.0001778664230369,0.223617409244453,-3.7499060286788746,-0.7611581258512539
